,symbol
0,BTC-USD
1,ETH-USD
2,USDT-USD
3,XRP-USD
4,BNB-USD
5,SOL-USD
6,USDC-USD
7,DOGE-USD
8,TRX-USD
9,WTRX-USD
10,ADA-USD
11,STETH-USD
12,WBTC-USD
13,HYPE32196-USD
14,WSTETH-USD
15,SUI20947-USD
16,LINK-USD
17,WETH-USD
18,AVAX-USD
19,LEO-USD
20,XLM-USD
21,BCH-USD
22,TON11419-USD
23,SHIB-USD
24,USDS33039-USD
25,HBAR-USD
26,BTCB-USD
27,WBETH-USD
28,AETHWETH-USD
29,LTC-USD
30,WEETH-USD
31,DOT-USD
32,XMR-USD
33,USDE29470-USD
34,BGB-USD
35,DAI-USD
36,PEPE24478-USD
37,PI35697-USD
38,CBBTC32994-USD
39,AETHUSDT-USD
40,AAVE-USD
41,UNI7083-USD
42,SUSDE-USD
43,TAO22974-USD
44,OKB-USD
45,CRO-USD
46,APT21794-USD
47,NEAR-USD
48,JITOSOL-USD
49,ICP-USD
50,ONDO-USD
51,ETC-USD
52,GT-USD
53,KAS-USD
54,USD136148-USD
55,POL28321-USD
56,MNT27075-USD
57,VET-USD
58,FTN-USD
59,TRUMP-OFFICIAL-USD
60,TRUMP35336-USD
61,RENDER-USD
62,ENA-USD
63,LBTC33652-USD
64,FET-USD
65,WLD-USD
66,FIL-USD
67,ARB11841-USD
68,ATOM-USD
69,ALGO-USD
70,SKY33038-USD
71,FDUSD-USD
72,JLP-USD
73,BBTC31369-USD
74,KCS-USD
75,QNT-USD
76,JUP29210-USD
77,TIA-USD
78,WZEDX-USD
79,BNSOL-USD
80,BONK-USD
81,FLR-USD
82,RETH-USD
83,INJ-USD
84,VIRTUAL-USD
85,IP-USD
86,RSETH-USD
87,STX4847-USD
88,S32684-USD
89,FORM23635-USD
90,FARTCOIN-USD
91,SPX28081-USD
92,OP-USD
93,WBNB-USD
94,SEI-USD
95,PYUSD-USD
96,XDC-USD
97,SOLVBTC-USD
98,IMX10603-USD
99,A36462-USD
100,METH29035-USD
101,GRT6719-USD
102,WIF-USD
103,CRV-USD
104,ZBU-USD
105,WHITE34143-USD
106,XAUT-USD
107,EZETH-USD
108,WFTM-USD
109,PAXG-USD
110,DEXE-USD
111,FLOKI-USD
112,ZEC-USD
113,NEXO-USD
114,VBTC-USD
115,CAKE-USD
116,THETA-USD
117,ENS-USD
118,MSOL-USD
119,GALA-USD
120,STKAAVE-USD
121,LDO-USD
122,JASMY-USD
123,FLZ-USD
124,SAND-USD
125,BTT-USD
126,OSETH-USD
127,PENDLE-USD
128,WAL36119-USD
129,IOTA-USD
130,PYTH-USD
131,USDCE-USD
132,BSV-USD
133,KAIA-USD
134,USD0-USD
135,CORE23254-USD
136,XSOLVBTC-USD
137,RAY-USD
138,JTO-USD
139,PENGU34466-USD
140,ZKJ-USD
141,USDY29256-USD
142,XTZ-USD
143,USDF35721-USD
144,WXTZ-USD
145,FLOW-USD
146,USD033981-USD
147,APE18876-USD
148,WOULD-USD
149,RUNE-USD
150,SLISBNB-USD
151,HNT-USD
152,AB-USD
153,MANA-USD
154,TBTC26133-USD
155,BTCB20721-USD
156,CMETH-USD
157,TUSD-USD
158,GRASS32956-USD
159,XCN18679-USD
160,LSETH-USD
161,CLISBNB-USD
162,DEEP33391-USD
163,VBNB-USD
164,BDX-USD
165,BRETT29743-USD
166,ATH30083-USD
167,KAVA-USD
168,COMP5692-USD
169,EIGEN-USD
170,KTA-USD
171,STRK22691-USD
172,SYRUP-USD
173,DOG30933-USD
174,EGLD-USD
175,DYDX-USD
176,AERO29270-USD
177,XEC-USD
178,NFT9816-USD
179,USDD-USD
180,NEO-USD
181,EETH-USD
182,KAITO-USD
183,PUMPBTC-USD
184,AR-USD
185,B-USD
186,AIOZ-USD
187,RSR-USD
188,AXS-USD
189,RLUSD-USD
190,TEL-USD
191,CFX-USD
192,SUPER8290-USD
193,ETHFI-USD
194,SUN-USD
195,CHZ-USD
196,VUSDT-USD
197,MORPHO34104-USD
198,ETHX-USD
199,UPC-USD
200,ZBCN-USD
201,RON14101-USD
202,MOVE32452-USD
203,POPCAT28782-USD
204,WCHZ-USD
205,CBETH-USD
206,JST-USD
207,AMP-USD
208,W-USD
209,TWT-USD
210,EBTC-USD
211,LPT-USD
212,GNO-USD
213,ULTIMA-USD
214,MOG-USD
215,FTT-USD
216,LUNC-USD
217,FRAX-USD
218,OHM-USD
219,BEAM28298-USD
220,WAVAX-USD
221,AKT-USD
222,USDG33793-USD
223,AXL17799-USD
224,MASK8536-USD
225,RBTC-USD
226,LA36510-USD
227,CTC-USD
228,CHEEL-USD
229,OM-USD
230,SAFE21585-USD
231,TURBO-USD
232,BERA-USD
233,1INCH-USD
234,MEW30126-USD
235,CHEEMS33280-USD
236,USDO36067-USD
237,CVX-USD
238,KSM-USD
239,DASH-USD
240,PNUT-USD
241,CUSDO-USD
242,DCR-USD
243,PLUME-USD
244,FRAX6953-USD
245,BETH-USD
246,SFRXETH-USD
247,MX-USD
248,MINA-USD
249,SAVAX-USD
